,Time,Session,Volume,Price Entry,B/S,Profit
0,2023-04-13 03:45:00-04:00,Overnight Session,394,12986.75,Sell,-10
1,2023-04-13 05:10:00-04:00,Overnight Session,830,12987.25,Buy,70
2,2023-04-13 06:05:00-04:00,Overnight Session,538,12990.75,Sell,-75
3,2023-04-13 07:10:00-04:00,Overnight Session,579,12994.5,Buy,-305
4,2023-04-13 07:45:00-04:00,Overnight Session,709,12979.25,Sell,-385
5,2023-04-13 08:30:00-04:00,Pre-Market,7545,12998.5,Buy,2210
6,2023-04-13 10:55:00-04:00,RTH Session,5016,13109,Sell,-1305
7,2023-04-13 13:35:00-04:00,RTH Lunch,3221,13174.25,Buy,575
8,2023-04-13 14:35:00-04:00,RTH Lunch,4455,13203,Sell,155
9,2023-04-13 18:35:00-04:00,Asia Session,508,13195.25,Buy,-175
10,2023-04-13 19:40:00-04:00,Asia Session,282,13186.5,Sell,-200
11,2023-04-13 20:00:00-04:00,Asia Session,556,13196.5,Buy,-220
12,2023-04-13 20:05:00-04:00,Asia Session,520,13185.5,Sell,-165
13,2023-04-13 20:15:00-04:00,Asia Session,223,13193.75,Buy,200
14,2023-04-13 21:20:00-04:00,Asia Session,178,13203.75,Sell,200
15,2023-04-13 23:25:00-04:00,Overnight Session,82,13193.75,Buy,55
16,2023-04-14 00:35:00-04:00,Overnight Session,78,13196.5,Sell,-5
17,2023-04-14 01:55:00-04:00,Overnight Session,199,13196.75,Buy,-170
18,2023-04-14 02:00:00-04:00,Overnight Session,618,13188.25,Sell,-170
19,2023-04-14 02:15:00-04:00,Overnight Session,218,13196.75,Buy,-215
20,2023-04-14 02:45:00-04:00,Overnight Session,473,13186,Sell,-410
21,2023-04-14 03:15:00-04:00,Overnight Session,801,13206.5,Buy,-355
22,2023-04-14 04:10:00-04:00,Overnight Session,675,13188.75,Sell,460
23,2023-04-14 06:40:00-04:00,Overnight Session,548,13165.75,Buy,-565
24,2023-04-14 06:50:00-04:00,Overnight Session,3052,13137.5,Sell,-110
25,2023-04-14 07:30:00-04:00,Overnight Session,1123,13143,Buy,-480
26,2023-04-14 08:40:00-04:00,Pre-Market,3721,13119,Sell,-330
27,2023-04-14 09:20:00-04:00,Pre-Market,1650,13135.5,Buy,55
28,2023-04-14 10:20:00-04:00,RTH Session,15071,13138.25,Sell,785
29,2023-04-14 13:10:00-04:00,RTH Lunch,4306,13099,Buy,695
30,2023-04-14 15:15:00-04:00,RTH Power Hour,8885,13133.75,Sell,-705
31,2023-04-14 15:35:00-04:00,RTH Power Hour,4408,13169,Buy,610
32,2023-04-14 16:55:00-04:00,After-Session,533,13199.5,Sell,130
33,2023-04-16 20:20:00-04:00,Asia Session,310,13193,Buy,-125
34,2023-04-16 20:45:00-04:00,Asia Session,232,13186.75,Sell,-20
35,2023-04-16 21:40:00-04:00,Asia Session,479,13187.75,Buy,-120
36,2023-04-16 23:30:00-04:00,Overnight Session,171,13181.75,Sell,-15
37,2023-04-17 00:35:00-04:00,Overnight Session,116,13182.5,Buy,-40
38,2023-04-17 00:55:00-04:00,Overnight Session,86,13180.5,Sell,-90
39,2023-04-17 01:00:00-04:00,Overnight Session,381,13185,Buy,-150
40,2023-04-17 01:10:00-04:00,Overnight Session,316,13177.5,Sell,-230
41,2023-04-17 01:25:00-04:00,Overnight Session,397,13189,Buy,-85
42,2023-04-17 02:20:00-04:00,Overnight Session,317,13184.75,Sell,-290
43,2023-04-17 02:50:00-04:00,Overnight Session,506,13199.25,Buy,-25
44,2023-04-17 04:05:00-04:00,Overnight Session,655,13198,Sell,580
45,2023-04-17 06:20:00-04:00,Overnight Session,287,13169,Buy,5
46,2023-04-17 07:35:00-04:00,Overnight Session,980,13169.25,Sell,-355
47,2023-04-17 08:05:00-04:00,Pre-Market,944,13187,Buy,-355
48,2023-04-17 08:30:00-04:00,Pre-Market,2898,13169.25,Sell,-365
49,2023-04-17 08:35:00-04:00,Pre-Market,1743,13187.5,Buy,-275
50,2023-04-17 08:40:00-04:00,Pre-Market,1405,13173.75,Sell,-390
51,2023-04-17 09:35:00-04:00,RTH Session,9995,13193.25,Buy,-695
52,2023-04-17 09:45:00-04:00,RTH Session,10531,13158.5,Sell,-495
53,2023-04-17 10:20:00-04:00,RTH Session,7403,13183.25,Buy,-610
54,2023-04-17 10:30:00-04:00,RTH Session,7906,13152.75,Sell,190
55,2023-04-17 11:20:00-04:00,RTH Lunch,3911,13143.25,Buy,-475
56,2023-04-17 11:25:00-04:00,RTH Lunch,8076,13119.5,Sell,445
57,2023-04-17 12:35:00-04:00,RTH Lunch,3453,13097.25,Buy,35
58,2023-04-17 14:00:00-04:00,RTH Lunch,4512,13099,Sell,-270
59,2023-04-17 14:30:00-04:00,RTH Lunch,3417,13112.5,Buy,1585
60,2023-04-17 16:30:00-04:00,After-Session,342,13191.75,Sell,320
61,2023-04-17 21:30:00-04:00,Asia Session,539,13175.75,Buy,-60
